Gene Symbol	OQL Line	Num Samples Altered	Percent Samples Altered
BMS1	BMS1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	16	3%
AMPD2	AMPD2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.9%
CEP57	CEP57: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.9%
CUL2	CUL2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.9%
H2BC13	H2BC13: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.9%
DCUN1D5	DCUN1D5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.9%
EPC1	EPC1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.9%
COPG2	COPG2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.9%
CEP192	CEP192: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.9%
CEP41	CEP41: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.9%
HAUS3	HAUS3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.9%
ELL3	ELL3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	15	2.9%
CCT8	CCT8: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.7%
H4C6	H4C6: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.7%
BORA	BORA: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.7%
ERCC2	ERCC2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.7%
CPNE1	CPNE1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.7%
ERCC6	ERCC6: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.7%
CLASP1	CLASP1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.7%
DDX39B	DDX39B: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.7%
H2AC13	H2AC13: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.7%
H2BC5	H2BC5: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.7%
H2BC14	H2BC14: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.7%
CHRNA1	CHRNA1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.7%
CDC40	CDC40: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.7%
H3C10	H3C10: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.7%
GTF2H4	GTF2H4: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.7%
GTPBP4	GTPBP4: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.7%
DSN1	DSN1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.7%
CXXC1	CXXC1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.7%
ASB13	ASB13: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.7%
POLR1G	POLR1G: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.7%
CACNA2D3	CACNA2D3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.7%
GFM2	GFM2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.7%
ASB17	ASB17: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	14	2.7%
DDX3X	DDX3X: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	13	2.5%
AAK1	AAK1: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	13	2.5%
HDAC10	HDAC10: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	13	2.5%
CENPQ	CENPQ: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	13	2.5%
CHD3	CHD3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	13	2.5%
DDX52	DDX52: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	13	2.5%
COPS2	COPS2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	13	2.5%
EXOSC3	EXOSC3: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	13	2.5%
CKB	CKB: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	13	2.5%
CCDC22	CCDC22: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	13	2.5%
H2BC10	H2BC10: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	13	2.5%
H2BC17	H2BC17: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	13	2.5%
H3C2	H3C2: MUT AMP HOMDEL EXP>=2 EXP<=-2 PROT>=2 PROT<=-2;	13	2.5%
